seq,name,file,depends_on,excel_sources,lines
1,INPUT,01_INPUT.txt,"","INPUT",5
2,TB_BASELINE,02_TB_BASELINE.txt,"INPUT","",160
3,TB_HCI,03_TB_HCI.txt,"INPUT","INPUT",1726
4,TB_HCI_CHARTS_BUFFER,04_TB_HCI_CHARTS_BUFFER.txt,"TB_HCI","TB_HCI",113
5,HCI_RHYTHM_TIMELINE,05_HCI_RHYTHM_TIMELINE.txt,"TB_HCI","TB_HCI; TB_HCI_SELECTED_CONTEXT",327
6,HCI_RHYTHM_PATH,06_HCI_RHYTHM_PATH.txt,"TB_HCI; HCI_RHYTHM_TIMELINE","HCI_RHYTHM_TIMELINE; TB_HCI; TB_HCI_SELECTED_CONTEXT",221
7,HCI_PERF_TARGETS,07_HCI_PERF_TARGETS.txt,"TB_HCI; TB_HCI_CHARTS_BUFFER","TB_HCI_CHARTS_BUFFER; TB_HCI_SELECTED_CONTEXT",252
8,HCI_PERF_STRUCTURE,08_HCI_PERF_STRUCTURE.txt,"TB_HCI","TB_HCI; TB_HCI_SELECTED_CONTEXT",274
9,HCI_KNOWLEDGE_PLAN,09_HCI_KNOWLEDGE_PLAN.txt,"HCI_PERF_TARGETS; HCI_PERF_STRUCTURE","HCI_PERF_STRUCTURE; HCI_PERF_TARGETS",282
10,TB_HCI_OUTPUT_DECISION_ENGINE,10_TB_HCI_OUTPUT_DECISION_ENGINE.txt,"HCI_KNOWLEDGE_PLAN","HCI_KNOWLEDGE_PLAN",218
11,TB_HCI_OUTPUT_DECISION_ENGINE_INTEGRATED,11_TB_HCI_OUTPUT_DECISION_ENGINE_INTEGRATED.txt,"TB_HCI_OUTPUT_DECISION_ENGINE","HCI_SELECTED_PERIODIZATION_PHASE; TB_HCI_OUTPUT_DECISION_ENGINE; TB_HCI_TRAINING_BI",484
12,HCI_OUTPUT_QUALITATIVE_INTELLIGENCE,12_HCI_OUTPUT_QUALITATIVE_INTELLIGENCE.txt,"HCI_PERF_TARGETS; HCI_PERF_STRUCTURE","HCI_PERF_STRUCTURE; HCI_PERF_TARGETS",370
13,TB_HCI_TRAINING_ENGINE,13_TB_HCI_TRAINING_ENGINE.txt,"TB_HCI; HCI_PERF_STRUCTURE; TB_HCI_PHYSICAL_TRAINING_BI","HCI_PERF_STRUCTURE; HCI_SELECTED_PERIODIZATION_PHASE; TB_HCI; TB_HCI_PHYSICAL_TRAINING_BI; TB_HCI_SELECTED_CONTEXT",449
14,TB_HCI_TRAINING_ENGINE_FINAL,14_TB_HCI_TRAINING_ENGINE_FINAL.txt,"INPUT; TB_HCI_OUTPUT_DECISION_ENGINE","HCI_SELECTED_PERIODIZATION_PHASE; INPUT; TB_HCI_OUTPUT_DECISION_ENGINE; TB_HCI_SELECTED_CONTEXT; TB_HCI_TRAINING_BI",593
15,TB_HCI_TRAINING_CONSULTATION,15_TB_HCI_TRAINING_CONSULTATION.txt,"TB_HCI_TRAINING_ENGINE_FINAL","TB_HCI_TRAINING_ENGINE_FINAL",142
16,TB_HCI_TRAINING_BI_CLASSIFIED,16_TB_HCI_TRAINING_BI_CLASSIFIED.txt,"","TB_HCI_TRAINING_BI",340
17,TB_HCI_PARAMETERS_CONFIG,17_TB_HCI_PARAMETERS_CONFIG.txt,"","Tabela23",5
18,TB_HCI_PARAMETERS_EXPLANATIONS,18_TB_HCI_PARAMETERS_EXPLANATIONS.txt,"","TB_HCI_PARAMETERS_EXPLANATIONS",5
19,TB_HCI_ATHLETE_PROFILE_ENGINE,19_TB_HCI_ATHLETE_PROFILE_ENGINE.txt,"","HCI_SELECTED_PERIODIZATION_PHASE; TB_HCI_ATHLETE_PROFILE",201
20,TB_HCI_PHYSICAL_TRAINING_BI,20_TB_HCI_PHYSICAL_TRAINING_BI.txt,"","TB_HCI_TRAINING_BI",614
21,TB_HCI_PHYSICAL_TRAINING_PACKAGES,21_TB_HCI_PHYSICAL_TRAINING_PACKAGES.txt,"","TB_HCI_PHYSICAL_TRAINING_PACKAGES",60
22,TB_HCI_PHYSICAL_TRAINING_PACKAGE_OUTPUT,22_TB_HCI_PHYSICAL_TRAINING_PACKAGE_OUTPUT.txt,"TB_HCI_PHYSICAL_TRAINING_PACKAGES","TB_HCI_PHYSICAL_TRAINING_ENGINE; TB_HCI_PHYSICAL_TRAINING_PACKAGES",152
23,RELATORIO,23_RELATORIO.txt,"HCI_RHYTHM_TIMELINE; HCI_RHYTHM_PATH; HCI_PERF_TARGETS; HCI_PERF_STRUCTURE; TB_HCI_OUTPUT_DECISION_ENGINE; HCI_OUTPUT_QUALITATIVE_INTELLIGENCE; TB_HCI_TRAINING_ENGINE_FINAL; TB_HCI_TRAINING_CONSULTATION","HCI_OUTPUT_QUALITATIVE_INTELLIGENCE; HCI_PERF_STRUCTURE; HCI_PERF_TARGETS; HCI_RHYTHM_PATH; HCI_RHYTHM_TIMELINE; TB_HCI_OUTPUT_DECISION_ENGINE; TB_HCI_SELECTED_CONTEXT; TB_HCI_TRAINING_CONSULTATION; TB_HCI_TRAINING_ENGINE_FINAL",739
